 TITLE="NTI converted file"
 VARIABLES="X","Y","Z","Density (kg/m^3)","Pressure (N/m^2)","V1-velocity (m/s); Velocity","V2-velocity (m/s)","V3-velocity (m/s)","Static temperature (K)","nutilde (m^2/s)","wall distance (m)","turbulent viscosity (kg/m s)","y-plus","u-plus","laminar viscosity (kg/m s)","thermal conductivity (W/m/K)","SF1-shear stress (Pa); Shear","SF2-shear stress (Pa)","SF3-shear stress (Pa)","Classical heat flux (W/m^2)","Gresho heat flux (W/m^2)"
ZONE ZONETYPE=FEBRICK, DATAPACKING=POINT,  T="Internal Elements" N=      152216 ,  E=      138744
  0.40000000E+01 0.00000000E+00 0.00000000E+00 0.13255249E+01 0.10012943E+06 0.49904122E+02 0.30763493E+01 0.00000000E+00 0.26315440E+03 0.39398621E-04 0.37998004E+01 0.41281273E-05 0.19794930E+06 0.76293188E+02 0.16675121E-04 0.23253383E-01 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
  0.39997799E+01 0.41957062E-01 0.00000000E+00 0.13255720E+01 0.10012943E+06 0.49956626E+02 0.30789056E+01 0.00000000E+00 0.26314505E+03 0.14023830E-04 0.37998072E+01 0.71693734E-07 0.19795668E+06 0.76373392E+02 0.16675121E-04 0.23253383E-01 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
  0.39991198E+01 0.83909508E-01 0.00000000E+00 0.13257101E+01 0.10012943E+06 0.50119225E+02 0.30885342E+01 0.00000000E+00 0.26311763E+03 0.00000000E+00 0.37998371E+01 0.00000000E+00 0.19797887E+06 0.76621936E+02 0.16675121E-04 0.23253383E-01 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
  0.39980196E+01 0.12585272E+00 0.00000000E+00 0.13255105E+01 0.10012943E+06 0.49893126E+02 0.30766008E+01 0.00000000E+00 0.26315726E+03 0.47754374E-03 0.37998902E+01 0.62887436E-03 0.19795182E+06 0.76276465E+02 0.16675121E-04 0.23253383E-01 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
  0.39964796E+01 0.16778209E+00 0.00000000E+00 0.13247637E+01 0.10012943E+06 0.49023734E+02 0.30143710E+01 0.00000000E+00 0.26330561E+03 0.19213285E-02 0.37999665E+01 0.25450500E-02 0.19784426E+06 0.74946532E+02 0.16675121E-04 0.23253383E-01 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
  0.39944998E+01 0.20969299E+00 0.00000000E+00 0.13241932E+01 0.10012943E+06 0.48343158E+02 0.29903893E+01 0.00000000E+00 0.26341903E+03 0.29346832E-02 0.38000660E+01 0.38859776E-02 0.19776425E+06 0.73907759E+02 0.16675121E-04 0.23253383E-01 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
  0.39920805E+01 0.25158083E+00 0.00000000E+00 0.13245735E+01 0.10012943E+06 0.48782693E+02 0.29974311E+01 0.00000000E+00 0.26334340E+03 0.23603932E-02 0.38001886E+01 0.31263446E-02 0.19782743E+06 0.74577836E+02 0.16675121E-04 0.23253383E-01 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
  0.39892220E+01 0.29344098E+00 0.00000000E+00 0.13254026E+01 0.10012943E+06 0.49743731E+02 0.30772614E+01 0.00000000E+00 0.26317867E+03 0.79746912E-03 0.38003343E+01 0.10554843E-02 0.19795885E+06 0.76048999E+02 0.16675121E-04 0.23253383E-01 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
  0.39859246E+01 0.33526885E+00 0.00000000E+00 0.13257301E+01 0.10012943E+06 0.50137474E+02 0.30934815E+01 0.00000000E+00 0.26311367E+03 0.00000000E+00 0.38005032E+01 0.00000000E+00 0.19801655E+06 0.76650194E+02 0.16675121E-04 0.23253383E-01 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
  0.39821886E+01 0.37705982E+00 0.00000000E+00 0.13255694E+01 0.10012943E+06 0.49948047E+02 0.30787724E+01 0.00000000E+00 0.26314556E+03 0.15623817E-04 0.38006951E+01 0.11028408E-06 0.19800256E+06 0.76360314E+02 0.16675121E-04 0.23253383E-01 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
  0.39780144E+01 0.41880931E+00 0.00000000E+00 0.13255266E+01 0.10012943E+06 0.49891211E+02 0.30785473E+01 0.00000000E+00 0.26315405E+03 0.31144608E-04 0.38009102E+01 0.16791783E-05 0.19800737E+06 0.76273731E+02 0.16675121E-04 0.23253383E-01 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
  0.39734026E+01 0.46051272E+00 0.00000000E+00 0.13255445E+01 0.10012943E+06 0.49911472E+02 0.30764551E+01 0.00000000E+00 0.26315050E+03 0.15977831E-04 0.38011483E+01 0.12057049E-06 0.19802244E+06 0.76304392E+02 0.16675121E-04 0.23253383E-01 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
  0.39683535E+01 0.50216546E+00 0.00000000E+00 0.13255590E+01 0.10012943E+06 0.49928511E+02 0.30812682E+01 0.00000000E+00 0.26314763E+03 0.00000000E+00 0.38014094E+01 0.00000000E+00 0.19803820E+06 0.76330795E+02 0.16675121E-04 0.23253383E-01 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
